,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
200,IGL,EQ,2018-02-26,295.5,298.8,298.8,291.65,        297.00,297.0,295.56,1789481,528903479.8,32025,920983,51.47,2,2018,548.8560227313301,0.0050761421319796,Slight or No change
201,IGL,EQ,2018-02-27,297.0,299.65,309.5,298.5,        305.30,305.2,305.81,5573040,1704297467.25,51166,1998087,35.85,2,2018,542.920270958578,0.02760942760942764,Slight or No change
202,IGL,EQ,2018-02-28,305.2,305.1,308.5,302.15,        304.55,304.7,305.2,2075256,633367812.0,29715,725562,34.96,2,2018,540.778688104358,-0.00163826998689387,Slight or No change
203,IGL,EQ,2018-03-01,304.7,303.85,310.8,303.0,        306.45,306.15,308.22,3752845,1156715205.15,34288,1706929,45.48,3,2018,537.0253075194954,0.00475877912701006,Slight or No change
204,IGL,EQ,2018-03-05,306.15,304.9,308.95,302.05,        306.00,305.3,305.46,1587413,484887488.95,21549,707185,44.55,3,2018,535.4678526820989,-0.0027764167891555225,Slight or No change
205,IGL,EQ,2018-03-06,305.3,309.0,316.8,307.8,        312.40,310.8,312.53,4969299,1553062657.55,53025,2570891,51.74,3,2018,530.8382327492976,0.018015067147068464,Slight or No change
206,IGL,EQ,2018-03-07,310.8,310.95,314.4,306.3,        310.00,308.1,310.84,2129537,661951637.5,25501,670643,31.49,3,2018,528.8885185630896,-0.008687258687258614,Slight or No change
207,IGL,EQ,2018-03-08,308.1,311.0,313.8,308.25,        310.40,310.8,311.0,2095964,651845617.65,38159,1077033,51.39,3,2018,527.0256508148726,0.008763388510223846,Slight or No change
208,IGL,EQ,2018-03-09,310.8,312.0,312.9,297.8,        308.00,300.85,301.38,2830725,853123612.65,48727,1132068,39.99,3,2018,524.446198530688,-0.032014157014156996,Slight or No change
209,IGL,EQ,2018-03-12,300.85,305.7,305.7,299.5,        302.55,302.9,302.99,2174973,659003630.3,29272,1180809,54.29,3,2018,522.5217197480074,0.006814026923716021,Slight or No change
210,IGL,EQ,2018-03-13,302.9,302.95,304.75,300.15,        303.70,303.6,302.53,1604649,485454489.35,25670,849552,52.94,3,2018,521.1276341482971,0.0023109937273029235,Slight or No change
211,IGL,EQ,2018-03-14,303.6,302.5,302.85,295.2,        301.20,301.2,299.26,1868331,559119558.65,25070,740495,39.63,3,2018,519.5090099818716,-0.007905138339921014,Slight or No change
212,IGL,EQ,2018-03-15,301.2,301.95,301.95,296.0,        297.40,298.3,298.35,1955922,583546734.45,27420,1086759,55.56,3,2018,517.8176603434518,-0.009628154050464688,Slight or No change
213,IGL,EQ,2018-03-16,298.3,299.8,299.8,295.2,        295.75,296.2,297.32,1498200,445438055.95,13953,907177,60.55,3,2018,516.5272818367755,-0.007039892725444252,Slight or No change
214,IGL,EQ,2018-03-19,296.2,294.3,294.9,287.25,        292.15,290.35,290.56,2301931,668843259.15,39675,1352740,58.77,3,2018,514.521811397334,-0.019750168804861468,Slight or No change
215,IGL,EQ,2018-03-20,290.35,290.0,290.0,284.65,        286.80,286.95,287.25,2540554,729773586.05,28654,1631518,64.22,3,2018,512.31638508473,-0.011710005166178816,Slight or No change
216,IGL,EQ,2018-03-21,286.95,287.0,296.8,287.0,        294.95,294.35,293.47,2282342,669792672.4,22195,1505446,65.96,3,2018,510.43511465923376,0.0257884648893536,Slight or No change
217,IGL,EQ,2018-03-22,294.35,296.75,296.75,289.65,        291.70,291.25,291.92,2198962,641917539.4,24350,1159063,52.71,3,2018,508.62746927258075,-0.010531679972821562,Slight or No change
218,IGL,EQ,2018-03-23,291.25,285.2,288.8,280.45,        281.95,282.0,283.44,2728794,773440504.1,24136,1710133,62.67,3,2018,506.33160782028386,-0.03175965665236047,Slight or No change
219,IGL,EQ,2018-03-26,282.0,282.0,284.55,274.5,        281.30,282.1,279.58,2433035,680228870.15,37862,1427957,58.69,3,2018,504.3243535814394,0.00035460992907809796,Slight or No change
220,IGL,EQ,2018-03-27,282.1,283.0,284.35,276.55,        279.95,280.2,279.35,2886167,806240204.85,24031,1961983,67.98,3,2018,501.9694111422791,-0.006735200283587539,Slight or No change
221,IGL,EQ,2018-03-28,280.2,278.2,281.5,275.4,        280.50,279.45,278.91,2677448,746758421.15,24899,1710268,63.88,3,2018,499.8213532926842,-0.002676659528907943,Slight or No change
222,IGL,EQ,2018-04-02,279.45,284.5,285.4,277.25,        278.85,279.35,280.29,2733421,766151794.05,30452,1573822,57.58,4,2018,497.6697775805614,-0.00035784576847364136,Slight or No change
223,IGL,EQ,2018-04-03,279.35,279.0,279.8,273.0,        279.20,278.05,275.91,2453716,677007075.65,29793,1483379,60.45,4,2018,495.7625361579747,-0.004653660282799343,Slight or No change
224,IGL,EQ,2018-04-04,278.05,279.95,286.9,279.0,        280.40,281.25,284.03,2639947,749832859.25,25354,1284588,48.66,4,2018,493.7768122515656,0.0115087214529761,Slight or No change
225,IGL,EQ,2018-04-05,281.25,283.0,292.85,281.65,        290.25,289.85,287.7,2195459,631628636.9,17638,984897,44.86,4,2018,492.2189103649731,0.030577777777777815,Slight or No change
226,IGL,EQ,2018-04-06,289.85,290.3,297.9,290.25,        296.45,296.65,295.65,2316307,684812254.95,31095,1280838,55.3,4,2018,490.6552227982666,0.023460410557184508,Slight or No change
227,IGL,EQ,2018-04-09,296.65,299.85,304.8,299.0,        303.90,303.5,303.28,1933870,586510386.35,28384,937035,48.45,4,2018,489.41415990130076,0.023091184898027972,Slight or No change
228,IGL,EQ,2018-04-10,303.5,305.0,307.2,294.0,        295.55,296.05,299.76,2147373,643696977.15,24216,1014653,47.25,4,2018,488.00077023418504,-0.024546952224052676,Slight or No change
229,IGL,EQ,2018-04-11,296.05,296.5,299.0,292.0,        294.80,294.7,295.65,1189525,351685504.6,16122,391300,32.9,4,2018,487.22124410572087,-0.004560040533693743,Slight or No change
230,IGL,EQ,2018-04-12,294.7,295.2,295.75,287.65,        290.00,289.85,289.97,2896893,840007867.85,38387,1872425,64.64,4,2018,485.3017116896855,-0.01645741431964698,Slight or No change
231,IGL,EQ,2018-04-13,289.85,290.5,295.35,289.9,        294.65,293.75,293.22,3278554,961335499.95,23390,1881910,57.4,4,2018,483.2162922616564,0.01345523546662064,Slight or No change
232,IGL,EQ,2018-04-16,293.75,292.9,296.75,289.05,        296.00,295.75,293.21,1572846,461170599.05,16104,337753,21.47,4,2018,482.2422628797656,0.006808510638297793,Slight or No change
233,IGL,EQ,2018-04-17,295.75,297.8,297.8,292.0,        292.50,293.25,293.86,1540380,452649624.95,26091,906086,58.82,4,2018,481.2854428589811,-0.008453085376162295,Slight or No change
234,IGL,EQ,2018-04-18,293.25,292.65,294.75,290.3,        293.70,293.05,292.36,1271552,371756495.6,16607,651935,51.27,4,2018,480.50204448707893,-0.0006820119352087817,Slight or No change
235,IGL,EQ,2018-04-19,293.05,293.1,297.4,291.3,        294.65,294.8,294.45,730961,215228017.65,10479,343917,47.05,4,2018,480.05882357089877,0.005971677188193247,Slight or No change
236,IGL,EQ,2018-04-20,294.8,294.6,295.65,292.35,        294.00,294.4,294.15,1711174,503333855.95,20462,1015423,59.34,4,2018,479.0272520718738,-0.0013568521031208647,Slight or No change
237,IGL,EQ,2018-04-23,294.4,294.1,296.8,290.85,        294.95,294.95,293.74,2040541,599398151.4,19656,1351747,66.24,4,2018,477.81563054517886,0.0018682065217392463,Slight or No change
238,IGL,EQ,2018-04-24,294.95,296.8,301.9,294.4,        301.15,299.75,299.31,1916816,573718722.3,35230,1017797,53.1,4,2018,476.7214094866696,0.016273944736395984,Slight or No change
239,IGL,EQ,2018-04-25,299.75,301.4,301.5,295.0,        296.80,297.15,297.47,1610351,479032015.95,29400,874036,54.28,4,2018,475.79912272260475,-0.008673894912427094,Slight or No change
240,IGL,EQ,2018-04-26,297.15,296.0,297.0,291.6,        294.00,295.35,294.47,1133514,333791210.3,16408,582347,51.38,4,2018,475.14910879767757,-0.006057546693588933,Slight or No change
241,IGL,EQ,2018-04-27,295.35,294.85,294.85,290.0,        291.00,291.1,292.32,2150749,628707757.45,15844,1655868,76.99,4,2018,473.8996952980773,-0.014389707127137275,Slight or No change
242,IGL,EQ,2018-04-30,291.1,290.7,292.3,286.5,        287.25,287.7,288.4,899782,259500399.65,17703,485793,53.99,4,2018,473.3723836565466,-0.011679835108210357,Slight or No change
